titulo,director,anio,duracion,link_pelicula,letterboxd,tags,poster
1982,Lucas Gallo,2019,90,https://drive.google.com/file/d/1v4rn5X4D763EvreWglhJmwPTNvV85CBL/view?usp=sharing,https://letterboxd.com/film/1982-2019-1/,#MalvinasArgentinas,https://drive.google.com/file/d/1dUcm1QZdLvAnprBkpbTa31b6wfyCAlP-/view?usp=sharing
¡Qué hermanita!,Kurt Land,1951,68,https://drive.google.com/file/d/1Sb_ChxDQtLVIhmxp3OtKrVUwrpgfD3_R/view,https://letterboxd.com/film/que-hermanita/,,https://drive.google.com/file/d/1u4j3lU595VGKcC6bJq86A4uCQf36-BiZ/view?usp=sharing
¡Secuestro sensacional!,Luis Bayón Herrera,1942,68,https://drive.google.com/file/d/1odDqm3Mdd5W_ZsQxshKmS6zkOdFHDIsr/view,https://letterboxd.com/film/secuestro-sensacional/,,https://drive.google.com/uc?id=1cbIpkTc3_K3G8FgyRRXQnriRp7POhRWA
¡Segundos afuera!,"Israel Chas de Cruz, Alberto Etchebehere",1937,80,https://drive.google.com/file/d/109WOLEC0-bkzio-2jqUqm__Qw9eHpHoS/view,https://letterboxd.com/film/segundos-afuera/,,https://drive.google.com/uc?id=1Uc1VUDHCWoZhfvZylWuwI8ebUvM8G1EG
¡Tango!,Luis Moglia Barth,1933,79,https://drive.google.com/file/d/1UFyPVhYVLhrb2HpVpYEaKAPxfgUYbW81/view,https://letterboxd.com/film/tango-1933-1/,,https://drive.google.com/uc?id=1_GWDcHWsrXvUVBC5RRRtBHwjrWwLrUTb
¿Dónde estás amor de mi vida... que no te puedo encontrar?,Juan José Jusid,1992,95,https://drive.google.com/file/d/1lExhA-vGi7viTHgyySa8SAcqcpOXYSKU/view,https://letterboxd.com/film/donde-estas-amor-de-mi-vida-que-no-te-puedo-encontrar/,,https://drive.google.com/file/d/1IpUAzFWBL4GpK-j38Yjadu1p3J-5EUKE/view?usp=sharing
Retiros (in)voluntarios,Sandra Gugliotta,2020,85,https://drive.google.com/file/d/1R8kw_ypHi2d-EB0Z8dXaJe6NPQWqIeW8/view,https://letterboxd.com/film/involuntary-retirements/,,https://drive.google.com/uc?id=1zwkBsuVvYLBKzqeJpEoGOKGZnrJ97rza
10 palomas,Tamae Garateguy,2021,83,https://drive.google.com/file/d/1yJ6vHnlZsBMJJG9guakfvM5OhAIx5vVc/view,https://letterboxd.com/film/10-palomas/,,https://drive.google.com/uc?id=10TKT0C1EKypXekFb09fSkfYPZGSBHU5w
24 horas (Algo está por explotar),Luis Barone,1997,97,https://drive.google.com/file/d/1xuFp_OMv2QMvuyM7-2tho90ky6emTub-/view,https://letterboxd.com/film/24-horas-algo-esta-por-explotar/,,https://drive.google.com/uc?id=16UNOT_CwoZWqkfj1B1dkit16G3aQINyF
5 pal peso,Raúl Perrone,1998,80,https://drive.google.com/file/d/1YWRyvyGCyykT4oA4zLddfA4UTBzleO69/view,https://letterboxd.com/film/5-pal-peso/,,https://drive.google.com/uc?id=17Qrn5Kn5f8Mvyyat5hcUDAS5Eb78PXsF
